line,day,incident,min_delay
501,Wednesday,Operations,8
510,Wednesday,Operations,5
510,Wednesday,Operations,5
505,Wednesday,Operations,8
511,Wednesday,Operations,9
501,Wednesday,Operations,9
501,Wednesday,Operations,20
501,Wednesday,Operations,8
506,Wednesday,Operations,9
504,Wednesday,Operations,5
504,Wednesday,Operations,5
501,Wednesday,Operations,10
504,Wednesday,Mechanical,6
511,Wednesday,Operations,9
504,Wednesday,Operations,5
504,Wednesday,Operations,5
506,Wednesday,Operations,9
501,Wednesday,Operations,9
503,Wednesday,Operations,10
512,Wednesday,Emergency Services,16
511,Wednesday,Operations,9
511,Wednesday,Emergency Services,9
501,Wednesday,Operations,10
505,Wednesday,Operations,8
504,Wednesday,Operations,5
511,Wednesday,Operations,9
501,Wednesday,Operations,10
504,Wednesday,Operations,5
501,Wednesday,Operations,10
511,Wednesday,Operations,9
504,Wednesday,Emergency Services,5
506,Wednesday,Operations,9
503,Wednesday,Operations,8
505,Wednesday,Operations,4
505,Wednesday,Operations,8
506,Wednesday,Operations,9
510,Wednesday,Operations,10
501,Wednesday,Emergency Services,10
505,Wednesday,Operations,8
510,Wednesday,Operations,10
511,Wednesday,Operations,9
503,Wednesday,Cleaning - Unsanitary,10
501,Wednesday,Operations,9
503,Wednesday,Operations,10
504,Wednesday,Operations,5
510,Wednesday,Operations,10
511,Wednesday,Operations,9
504,Wednesday,Operations,5
512,Wednesday,Operations,6
504,Wednesday,Operations,5
506,Wednesday,Operations,9
501,Wednesday,Operations,10
510,Wednesday,Operations,10
501,Wednesday,Operations,9
501,Wednesday,General Delay,10
501,Wednesday,Operations,10
505,Wednesday,Security,8
506,Wednesday,Operations,8
501,Wednesday,Operations,8
501,Wednesday,Operations,10
504,Wednesday,Operations,5
505,Wednesday,Operations,7
504,Wednesday,Operations,5
511,Wednesday,Operations,8
505,Wednesday,Operations,8
504,Wednesday,Operations,5
506,Wednesday,Operations,7
506,Wednesday,Operations,9
511,Wednesday,Operations,8
501,Wednesday,Operations,10
510,Wednesday,Operations,10
510,Wednesday,Operations,10
504,Wednesday,Operations,5
504,Wednesday,Operations,5
512,Wednesday,Cleaning - Unsanitary,6
511,Wednesday,Operations,8
510,Wednesday,Operations,10
510,Wednesday,Cleaning - Unsanitary,10
511,Wednesday,Emergency Services,14
504,Wednesday,Operations,5
510,Wednesday,Security,10
505,Wednesday,Operations,8
501,Wednesday,Cleaning - Unsanitary,8
501,Wednesday,Mechanical,10
511,Wednesday,Mechanical,8
504,Wednesday,Late Entering Service,6
512,Wednesday,Held By,4
501,Wednesday,Utilized Off Route,7
511,Wednesday,Security,11
504,Wednesday,Security,6
509,Wednesday,Emergency Services,0
504,Thursday,Operations,10
504,Thursday,Operations,10
504,Thursday,Operations,5
503,Thursday,Mechanical,8
501,Thursday,Operations,8
504,Thursday,Mechanical,6
504,Thursday,Operations,4
509,Thursday,Cleaning - Unsanitary,10
506,Thursday,Operations,3
504,Thursday,Operations,5
504,Thursday,Operations,3
504,Thursday,Operations,3
510,Thursday,Mechanical,44
504,Thursday,Security,5
501,Thursday,Utilized Off Route,8
504,Thursday,Operations,5
506,Thursday,Utilized Off Route,7
501,Thursday,Operations,8
509,Thursday,Operations,10
506,Thursday,Operations,8
511,Thursday,Security,7
505,Thursday,Operations,8
504,Thursday,Mechanical,5
511,Thursday,Mechanical,7
511,Thursday,Operations,8
501,Thursday,Mechanical,8
503,Thursday,Operations,10
504,Thursday,Mechanical,7
510,Thursday,Operations,10
501,Thursday,Operations,8
501,Thursday,Operations,8
501,Thursday,Operations,10
501,Thursday,Operations,8
504,Thursday,General Delay,11
505,Thursday,Operations,8
511,Thursday,Operations,7
501,Thursday,Operations,8
511,Thursday,Operations,7
501,Thursday,Operations,8
501,Thursday,Operations,8
504,Thursday,Operations,5
503,Thursday,Operations,10
503,Thursday,Operations,10
501,Thursday,Cleaning - Unsanitary,8
510,Thursday,Operations,10
504,Thursday,Operations,5
504,Thursday,Operations,5
504,Thursday,Operations,5
501,Thursday,Operations,9
503,Thursday,Operations,10
505,Thursday,Security,0
504,Thursday,Cleaning - Unsanitary,5
511,Thursday,Operations,7
504,Thursday,Mechanical,4
510,Thursday,Operations,10
501,Thursday,Operations,9
506,Thursday,Operations,8
505,Thursday,Operations,8
506,Thursday,Operations,8
505,Thursday,Operations,8
501,Thursday,Operations,9
511,Thursday,Operations,8
501,Thursday,Operations,8
504,Thursday,Operations,4
504,Thursday,Operations,5
501,Thursday,Operations,16
511,Thursday,Operations,7
506,Thursday,Mechanical,8
501,Thursday,Operations,8
503,Thursday,Collision - TTC Involved,8
501,Thursday,Diversion,16
504,Thursday,Operations,5
501,Thursday,Operations,8
501,Thursday,Operations,9
505,Thursday,Operations,8
510,Thursday,Operations,10
504,Thursday,Operations,6
512,Thursday,Operations,6
506,Thursday,Operations,9
